Material,Cost Per,Amount Needed,Self-provided?,HC Funding,Link
PLA,$13.99,1,Yes,N/A,https://us.elegoo.com/collections/pla-filament/products/pla-filament-1-75mm-colored-1kg
Ardino Nano,$9.99,1,No,$9.99,https://www.amazon.com/gp/product/B0FR1K3PXC/ref=ewc_pr_img_1?smid=A2OEGRG2ZM4R5C&psc=1
Accelerometer,$6.99,1,No,$6.99,https://www.amazon.com/gp/product/B01DK83ZYQ/ref=ewc_pr_img_6?smid=A30QSGOJR8LMXA&th=1
2pc Mini Servos,$4.99,1,No,$4.99,https://www.amazon.com/gp/product/B0DFKPVRC2/ref=ewc_pr_img_1?smid=A3CX4TQNUXMB0L&psc=1
Total,$35.96,,,$21.97,
